"RelativePath","Name","SizeBytes","LastWriteTime"
"active\C12-01_Knowledge-Vault.md","C12-01_Knowledge-Vault.md","2737","29.08.2025 21:39:17"
"active\CU-01_CheCha-University-Identity.md","CU-01_CheCha-University-Identity.md","2835","29.08.2025 21:39:17"
"archived\G23-01_Student-Activation-Odesa.md","G23-01_Student-Activation-Odesa.md","2951","29.08.2025 21:39:17"
"draft\ETH-01_ETHNO-Ancestors.md","ETH-01_ETHNO-Ancestors.md","2804","29.08.2025 21:39:17"
"draft\XXX-YY_.md","XXX-YY_.md","529","29.08.2025 22:29:01"
"generate_protocols_table.ps1","generate_protocols_table.ps1","1571","30.08.2025 19:16:16"
"new_protocol.ps1","new_protocol.ps1","1289","30.08.2025 9:20:10"
"protocol_check.ps1","protocol_check.ps1","943","29.08.2025 17:46:50"
"protocol_reindex_from_files.ps1","protocol_reindex_from_files.ps1","1091","30.08.2025 18:51:23"
"protocol_update_status.ps1","protocol_update_status.ps1","1753","30.08.2025 9:20:10"
"Run-Daily.ps1","Run-Daily.ps1","3196","30.08.2025 19:58:47"
"templates\PROTOCOL_TEMPLATE.md","PROTOCOL_TEMPLATE.md","459","30.08.2025 9:20:10"
